entloss,EpisodesSoFar,entropy,surrgain,AttC,AttNC,meankl,TimeElapsed,Fce,TtR,MtR,TimestepsSoFar,optimgain
0.0,7734,1.4326636,0.0010135426,1.2142857142857142,1.7857142857142858,0.0029907313,23254.012463331223,0.11802197362593404,85.78571428571429,16.530029141191783,1669757,0.0010135426
0.0,7781,1.4454693,0.0004412384,1.148936170212766,1.851063829787234,0.0017829835,23383.241453886032,0.10870087609511893,73.14893617021276,13.942815112156653,1679800,0.0004412384
0.0,7826,1.4330618,0.00029971416,1.2222222222222223,1.7777777777777777,0.0017530968,23524.311537981033,0.137087317620651,81.53333333333333,15.679312136729193,1689829,0.00029971416
0.0,7873,1.3820807,0.00049715705,1.5957446808510638,1.4042553191489362,0.005001772,23668.885889530182,0.1295075987841945,79.02127659574468,14.860195062077363,1699852,0.00049715705
0.0,7915,1.3768703,0.0008679702,1.3095238095238095,1.6904761904761905,0.009266307,23796.310366153717,0.13790476190476186,85.64285714285714,16.5267080080471,1709856,0.0008679702
0.0,7959,1.3703133,0.00055086036,1.2272727272727273,1.7727272727272727,0.0033258076,23939.522877454758,0.1163030303030303,81.75,15.592420946607994,1719886,0.00055086036
0.0,8004,1.3645045,0.0008177231,1.4222222222222223,1.5777777777777777,0.0032990072,24091.62005496025,0.12192191174572814,85.86666666666666,16.57158732153388,1729916,0.0008177231
0.0,8051,1.3466418,0.0007014882,1.3191489361702127,1.6808510638297873,0.002223375,24237.603001594543,0.15377768225995173,77.74468085106383,14.903765738512018,1739824,0.0007014882
0.0,8097,1.3253897,0.0005934494,1.3043478260869565,1.6956521739130435,0.0047449423,24396.23416209221,0.13901089791767665,81.97826086956522,15.80516231975662,1749819,0.0005934494
0.0,8149,1.3290898,0.0009966054,1.5384615384615385,1.4615384615384615,0.003565434,24523.863187789917,0.11472902266424535,68.65384615384616,13.421869666992048,1759786,0.0009966054
0.0,8191,1.3110353,0.00085752335,1.119047619047619,1.880952380952381,0.0010587971,24653.308835983276,0.11566502463054187,84.57142857142857,16.1426176455592,1769816,0.00085752335
0.0,8236,1.3061627,0.0008850161,1.0888888888888888,1.9111111111111112,0.0013214053,24786.999210357666,0.1048634920634921,73.06666666666666,14.006334517223786,1779835,0.0008850161
0.0,8280,1.3184823,0.0009013901,1.2272727272727273,1.7727272727272727,0.0030955886,24919.38001680374,0.11322377622377622,82.43181818181819,15.526062061132318,1789867,0.0009013901
0.0,8323,1.3364383,0.0005204203,1.255813953488372,1.744186046511628,0.0028916255,25071.370935201645,0.1164651162790698,87.34883720930233,16.7489370029275,1799878,0.0005204203
