EpisodesSoFar,TimestepsSoFar,AttC,TtR,TimeElapsed,surrgain,AttNC,entropy,MtR,meankl,entloss,Fce,optimgain
16358,3939788,0.0,2500.0,42346.78012108803,0.0002350122,10.0,-0.50956124,142.8784238871937,0.008933416,0.0,1.0,0.0002350122
16398,3949788,0.0,2500.0,42439.99748110771,0.00042898595,10.0,-0.41197535,142.8784238871937,0.008933102,0.0,1.0,0.00042898595
16438,3959788,0.0,2500.0,42537.60405635834,0.00021609229,10.0,-0.3143808,142.8784238871937,0.008933204,0.0,1.0,0.00021609229
16478,3969788,0.0,2500.0,42624.440260887146,0.00014071261,10.0,-0.2167955,142.8784238871937,0.008933196,0.0,1.0,0.00014071261
16518,3979788,0.0,2500.0,42727.77157855034,0.00016869133,10.0,-0.119203664,142.8784238871937,0.008933204,0.0,1.0,0.00016869133
16558,3989788,0.0,2500.0,42812.75464653969,0.00020375355,10.0,-0.02161406,142.8784238871937,0.008933204,0.0,1.0,0.00020375355
16598,3999788,0.0,2500.0,42904.05330204964,6.750997e-05,10.0,-0.119203635,142.8784238871937,0.010174781,0.0,1.0,6.750997e-05
16638,4009788,0.0,2500.0,42994.94642972946,0.00029829296,10.0,-0.2167955,142.8784238871937,0.010174863,0.0,1.0,0.00029829296
16678,4019788,0.0,2500.0,43091.738089084625,0.00043794472,10.0,-0.3143808,142.8784238871937,0.010174871,0.0,1.0,0.00043794472
16718,4029788,0.0,2500.0,43183.26503157616,3.767992e-05,10.0,-0.41197574,142.8784238871937,0.010174781,0.0,1.0,3.767992e-05
16758,4039788,0.0,2500.0,43283.59296441078,9.8508775e-05,10.0,-0.3143881,142.8784238871937,0.008933204,0.0,1.0,9.8508775e-05
16798,4049788,0.0,2500.0,43387.4081530571,1.6880035e-08,10.0,-0.3265803,142.8784238871937,0.00014990568,0.0,1.0,1.6880035e-08
16838,4059788,0.0,2500.0,43482.409546375275,9.740233e-05,10.0,-0.42416456,142.8784238871937,0.010174744,0.0,1.0,9.740233e-05
16878,4069788,0.0,2500.0,43583.24451494217,0.00033829254,10.0,-0.5217589,142.8784238871937,0.010174863,0.0,1.0,0.00033829254
16918,4079788,0.0,2500.0,43673.118411540985,0.0004839884,10.0,-0.6193318,142.8784238871937,0.010172851,0.0,1.0,0.0004839884
16958,4089788,0.0,2500.0,43769.200360774994,0.00018449822,10.0,-0.52175134,142.8784238871937,0.008933204,0.0,1.0,0.00018449822
16998,4099788,0.0,2500.0,43863.47904276848,0.00033128753,10.0,-0.42416143,142.8784238871937,0.008933196,0.0,1.0,0.00033128753
17038,4109788,0.0,2500.0,43957.260031700134,0.0005684399,10.0,-0.3265686,142.8784238871937,0.008933204,0.0,1.0,0.0005684399
17078,4119788,0.0,2500.0,44045.91706442833,0.00015569772,10.0,-0.4241615,142.8784238871937,0.010174863,0.0,1.0,0.00015569772
17118,4129788,0.0,2500.0,44142.10621714592,0.0005159103,10.0,-0.32656863,142.8784238871937,0.008933204,0.0,1.0,0.0005159103
17158,4139788,0.0,2500.0,44230.32868504524,0.00029045827,10.0,-0.4241615,142.8784238871937,0.010174863,0.0,1.0,0.00029045827
17198,4149788,0.0,2500.0,44326.63327527046,0.00041106436,10.0,-0.5217514,142.8784238871937,0.010174863,0.0,1.0,0.00041106436
17238,4159788,0.0,2500.0,44420.58508038521,0.00010431254,10.0,-0.6193462,142.8784238871937,0.010174781,0.0,1.0,0.00010431254
17278,4169788,0.0,2500.0,44512.66163921356,0.0007766229,10.0,-0.71692455,142.8784238871937,0.010174781,0.0,1.0,0.0007766229
17318,4179788,0.0,2500.0,44605.68360686302,0.00033501038,10.0,-0.6193318,142.8784238871937,0.008933196,0.0,1.0,0.00033501038
17358,4189788,0.0,2500.0,44698.034532785416,0.0003451509,10.0,-0.71692455,142.8784238871937,0.010174871,0.0,1.0,0.0003451509
17398,4199788,0.0,2500.0,44788.76582574844,0.00019059605,10.0,-0.8145153,142.8784238871937,0.01017476,0.0,1.0,0.00019059605
17438,4209788,0.0,2500.0,44882.09247159958,3.948122e-05,10.0,-0.9121093,142.8784238871937,0.010174781,0.0,1.0,3.948122e-05
17478,4219788,0.0,2500.0,44979.306354522705,0.0005868012,10.0,-1.0097034,142.8784238871937,0.01017476,0.0,1.0,0.0005868012
17518,4229788,0.0,2500.0,45075.79800534248,0.00033514953,10.0,-1.1072955,142.8784238871937,0.010174781,0.0,1.0,0.00033514953
17558,4239788,0.0,2500.0,45169.86299943924,0.0003376383,10.0,-1.0097034,142.8784238871937,0.008933204,0.0,1.0,0.0003376383
17598,4249788,0.0,2500.0,45268.44531130791,0.00018886887,10.0,-1.1072961,142.8784238871937,0.010174863,0.0,1.0,0.00018886887
17638,4259788,0.0,2500.0,45361.32976388931,0.00012125261,10.0,-1.2048825,142.8784238871937,0.010174751,0.0,1.0,0.00012125261
17678,4269788,0.0,2500.0,45459.29093027115,4.20133e-05,10.0,-1.3024758,142.8784238871937,0.010174639,0.0,1.0,4.20133e-05
17718,4279788,0.0,2500.0,45556.49345636368,0.00014022364,10.0,-1.4000673,142.8784238871937,0.010174781,0.0,1.0,0.00014022364
17758,4289788,0.0,2500.0,45654.642265081406,0.00043512406,10.0,-1.497638,142.8784238871937,0.010173685,0.0,1.0,0.00043512406
17798,4299788,0.0,2500.0,45751.21912288666,0.00015636387,10.0,-1.400038,142.8784238871937,0.008933204,0.0,1.0,0.00015636387
17838,4309788,0.0,2500.0,45852.659307956696,0.00017761569,10.0,-1.497638,142.8784238871937,0.010174871,0.0,1.0,0.00017761569
17878,4319788,0.0,2500.0,45945.12123775482,8.415621e-05,10.0,-1.4025093,142.8784238871937,0.0085037695,0.0,1.0,8.415621e-05
17918,4329788,0.0,2500.0,46050.21077013016,1.4307651e-05,10.0,-1.3049195,142.8784238871937,0.008933102,0.0,1.0,1.4307651e-05
17958,4339788,0.0,2500.0,46142.66341114044,0.00087868614,10.0,-1.2073323,142.8784238871937,0.008933204,0.0,1.0,0.00087868614
17998,4349788,0.0,2500.0,46242.910250902176,0.00020001711,10.0,-1.3049195,142.8784238871937,0.010174781,0.0,1.0,0.00020001711
18038,4359788,0.0,2500.0,46345.510127067566,0.00051288935,10.0,-1.2073323,142.8784238871937,0.008933204,0.0,1.0,0.00051288935
18078,4369788,0.0,2500.0,46448.81909656525,0.00011862818,10.0,-1.1097378,142.8784238871937,0.008933204,0.0,1.0,0.00011862818
18118,4379788,0.0,2500.0,46543.87897562981,0.00016175529,10.0,-1.2073323,142.8784238871937,0.010174781,0.0,1.0,0.00016175529
18158,4389788,0.0,2500.0,46644.036859989166,0.0005337468,10.0,-1.1097378,142.8784238871937,0.008933102,0.0,1.0,0.0005337468
18198,4399788,0.0,2500.0,46742.719910144806,0.00033572127,10.0,-1.2073323,142.8784238871937,0.010174871,0.0,1.0,0.00033572127
18238,4409788,0.0,2500.0,46831.072432518005,0.00027528554,10.0,-1.1097378,142.8784238871937,0.008933204,0.0,1.0,0.00027528554
18278,4419788,0.0,2500.0,46933.99946260452,0.00022540358,10.0,-1.2073323,142.8784238871937,0.010174781,0.0,1.0,0.00022540358
18318,4429788,0.0,2500.0,47034.6589384079,0.0005123745,10.0,-1.30492,142.8784238871937,0.010174863,0.0,1.0,0.0005123745
18358,4439788,0.0,2500.0,47128.83335804939,0.00015754608,10.0,-1.2073324,142.8784238871937,0.008933204,0.0,1.0,0.00015754608
18398,4449788,0.0,2500.0,47226.511375427246,0.00029530755,10.0,-1.30492,142.8784238871937,0.010174751,0.0,1.0,0.00029530755
18438,4459788,0.0,2500.0,47323.454140901566,0.0006132425,10.0,-1.2073324,142.8784238871937,0.008933204,0.0,1.0,0.0006132425
18478,4469788,0.0,2500.0,47419.28578209877,0.0005514369,10.0,-1.30492,142.8784238871937,0.010174751,0.0,1.0,0.0005514369
18518,4479788,0.0,2500.0,47518.75954198837,0.00045579963,10.0,-1.4025093,142.8784238871937,0.010174781,0.0,1.0,0.00045579963
18558,4489788,0.0,2500.0,47617.85926985741,0.00012051669,10.0,-1.5001087,142.8784238871937,0.010174863,0.0,1.0,0.00012051669
18598,4499788,0.0,2500.0,47710.951721191406,0.0002893756,10.0,-1.4025093,142.8784238871937,0.008933204,0.0,1.0,0.0002893756
