TtR,Ptt,entropy,TimestepsSoFar,AttNC,surrgain,AttC,entloss,Tmt,EpisodesSoFar,Tmc,MtR,MpbtA,meankl,Tbt,optimgain,TimeElapsed,MpbtN
-70.25,80.60843900747078,0.2313658,1419824,0.4090909090909091,0.009441192,0.5909090909090909,0.0,82.93181818181819,8925,21.045454545454547,-40.888192090009255,15.317964860118037,0.0036919243,339688.7272727273,0.009441192,24288.276639699936,84.68203513988198
-69.92857142857143,80.65358935258784,0.20785674,1430000,0.5,0.007738739,0.5,0.0,82.97619047619048,8967,21.0,-39.314169635790456,15.72593863353875,0.0033046512,339870.4761904762,0.007738739,24403.616263389587,84.27406136646124
-68.24324324324324,79.56211649647491,0.27987292,1439872,0.4594594594594595,0.012809607,0.5405405405405406,0.0,81.75675675675676,9004,22.16216216216216,-37.76425760997086,16.53097750800252,0.008233901,334875.6756756757,0.012809607,24518.95498919487,83.4690224919975
-69.28571428571429,80.09962737476597,0.26294738,1449933,0.42857142857142855,0.00830946,0.5714285714285714,0.0,82.38095238095238,9046,21.595238095238095,-39.56124272606461,15.88360983199615,0.003896605,337432.38095238095,0.00830946,24634.678579092026,84.11639016800386
-69.69767441860465,80.47799415363043,0.2506095,1459954,0.27906976744186046,0.00924326,0.7209302325581395,0.0,82.76744186046511,9089,21.186046511627907,-40.23045711425462,15.784119024710872,0.0050324234,339015.4418604651,0.00924326,24755.538447141647,84.21588097528914
-70.02380952380952,80.74387227254833,0.24679509,1469754,0.4523809523809524,0.0078016906,0.5476190476190477,0.0,83.07142857142857,9131,20.904761904761905,-40.464839860726784,15.710308076857112,0.0040259417,340260.5714285714,0.0078016906,24875.771764039993,84.28969192314288
-68.79069767441861,79.72190086713096,0.22352387,1479893,0.18604651162790697,0.007925348,0.813953488372093,0.0,81.97674418604652,9174,22.0,-38.46460739322847,16.105167350496618,0.0034652222,335776.74418604653,0.007925348,24997.048151493073,83.89483264950339
-68.94871794871794,79.98438339243195,0.25406605,1489810,0.358974358974359,0.008881626,0.6410256410256411,0.0,82.25641025641026,9213,21.71794871794872,-38.43933008779014,16.180781107078776,0.0047272635,336922.25641025644,0.008881626,25114.12435078621,83.81921889292123
-69.88095238095238,80.45081417838944,0.23579013,1499948,0.2857142857142857,0.0073824166,0.7142857142857143,0.0,82.73809523809524,9255,21.214285714285715,-39.41736557510225,15.506770606797328,0.0040966324,338895.2380952381,0.0073824166,25232.848957300186,84.49322939320268
-70.17948717948718,81.42363373648931,0.23268919,1509851,0.6666666666666666,0.0082468195,0.3333333333333333,0.0,83.71794871794872,9294,20.153846153846153,-39.87476465091266,16.192022003329193,0.003715731,342908.71794871794,0.0082468195,25340.218217134476,83.8079779966708
-70.525,80.30450275981948,0.23654221,1519842,0.6,0.0064010695,0.4,0.0,82.6,9334,21.375,-39.67869230081335,14.647021841420067,0.0032117516,338329.6,0.0064010695,25461.230592012405,85.35297815857994
-68.43589743589743,79.72197905832392,0.24975969,1529739,0.48717948717948717,0.007462866,0.5128205128205128,0.0,81.97435897435898,9373,22.0,-38.37120180338783,16.497060026337632,0.004185989,335766.9743589744,0.007462866,25577.157417535782,83.50293997366238
-69.375,80.58614884699907,0.21899922,1539797,0.475,0.008610811,0.525,0.0,82.925,9413,21.075,-39.185374148070096,16.352484221867428,0.0042421236,339660.8,0.008610811,25689.65356850624,83.64751577813259
-69.6829268292683,80.53998266054333,0.22826207,1549970,0.5121951219512195,0.007309229,0.4878048780487805,0.0,82.85365853658537,9454,21.121951219512194,-39.72846937866724,15.90340331020002,0.0037405144,339368.5853658537,0.007309229,25807.010692834854,84.09659668979998
-70.35,80.73805921288684,0.23246074,1559921,0.525,0.00807959,0.475,0.0,83.025,9494,20.9,-40.193804769066816,15.320163954321913,0.0039401236,340070.4,0.00807959,25926.55460333824,84.67983604567809
-69.8974358974359,80.55352979254832,0.22845317,1569767,0.5384615384615384,0.008263851,0.46153846153846156,0.0,82.84615384615384,9533,21.102564102564102,-39.27003358468118,15.637731531009477,0.003904492,339337.8461538461,0.008263851,26037.62674689293,84.36226846899052
-70.425,81.18068992663436,0.2282958,1579898,0.625,0.00979431,0.375,0.0,83.5,9573,20.425,-39.83934278209857,15.671768537664041,0.00418374,342016.0,0.00979431,26152.83127760887,84.32823146233595
-69.2051282051282,80.11136150793774,0.22171089,1589890,0.5128205128205128,0.0083221635,0.48717948717948717,0.0,82.3076923076923,9612,21.564102564102566,-38.271338641550024,15.963032413825063,0.0036723327,337132.3076923077,0.0083221635,26264.441730499268,84.03696758617494
-68.92307692307692,79.93340585116111,0.23757021,1599828,0.5384615384615384,0.012159213,0.46153846153846156,0.0,82.17948717948718,9651,21.76923076923077,-38.660426812793844,16.1731260743529,0.0050155465,336607.1794871795,0.012159213,26376.082389593124,83.8268739256471
-68.71794871794872,79.5059436111892,0.22008555,1609967,0.5897435897435898,0.010015827,0.41025641025641024,0.0,81.74358974358974,9690,22.23076923076923,-38.42822511249582,15.93920621456341,0.0050384994,334821.74358974356,0.010015827,26491.26848912239,84.06079378543659
-69.76315789473684,81.30517943735863,0.22108762,1619822,0.6578947368421053,0.007573845,0.34210526315789475,0.0,83.63157894736842,9728,20.289473684210527,-39.12248680249972,16.58451871499977,0.004354947,342554.94736842107,0.007573845,26602.95839047432,83.41548128500023
-70.075,80.43121234599838,0.21705508,1629995,0.5,0.0076004304,0.5,0.0,82.675,9768,21.225,-39.122522162654306,15.288507198485089,0.0040867263,338636.8,0.0076004304,26714.978523015976,84.71149280151491
-69.54054054054055,80.27176098143138,0.23121934,1639858,0.8378378378378378,0.009463866,0.16216216216216217,0.0,82.54054054054055,9805,21.405405405405407,-39.120029789598355,15.771186895904483,0.005916986,338086.0540540541,0.009463866,26820.47748374939,84.22881310409552
-70.35,80.9965908024458,0.22669426,1649991,0.7,0.008719791,0.3,0.0,83.325,9845,20.625,-39.45538587267559,15.561826142554613,0.0046196165,341299.2,0.008719791,26934.36132621765,84.43817385744538
-70.02564102564102,81.0181289407504,0.24048448,1659881,0.6410256410256411,0.009444254,0.358974358974359,0.0,83.28205128205128,9884,20.58974358974359,-39.972818434268056,15.930946089310378,0.00420286,341123.28205128206,0.009444254,27045.32819223404,84.06905391068962
-68.975,80.27668514172211,0.24234238,1669805,0.575,0.008951209,0.425,0.0,82.55,9924,21.4,-38.643263487817144,16.435243046018865,0.004661101,338124.8,0.008951209,27164.675040483475,83.56475695398113
-68.64102564102564,79.41232343131351,0.2099087,1679781,0.5128205128205128,0.007879315,0.48717948717948717,0.0,81.64102564102564,9963,22.333333333333332,-38.59782063728206,15.92942832745558,0.0043804077,334401.641025641,0.007879315,27278.199526309967,84.0705716725444
-70.25641025641026,80.6016469002821,0.24981281,1689937,0.6923076923076923,0.010050235,0.3076923076923077,0.0,82.8974358974359,10002,21.05128205128205,-39.644479591211784,15.274323800987299,0.0061247204,339547.89743589744,0.010050235,27386.326955080032,84.72567619901271
