entropy,EpisodesSoFar,surrgain,Fce,TimeElapsed,AttC,MtR,meankl,TtR,entloss,AttNC,optimgain,TimestepsSoFar
7.011856,11096,9.460449e-09,0.16638649155722327,21745.352345705032,6.512195121951219,23.548554777751214,0.010174863,407.0731707317073,0.0,3.4878048780487805,9.460449e-09,2699988
7.011856,11139,9.460449e-09,0.1666723044397463,21821.349519491196,6.930232558139535,22.89708771340543,0.010174863,405.3488372093023,0.0,3.0697674418604652,9.460449e-09,2709782
6.914237,11180,-7.4005126e-09,0.16908464849354374,21899.099420785904,6.487804878048781,23.655465585720492,0.010174863,412.6829268292683,0.0,3.5121951219512195,-7.4005126e-09,2719799
7.011856,11223,-3.890991e-09,0.16559815629583072,21974.91423535347,6.511627906976744,23.47563215552671,0.008933196,407.6744186046512,0.0,3.488372093023256,-3.890991e-09,2729868
7.1094093,11264,5.1879883e-09,0.1681200750469043,22053.471937656403,6.7560975609756095,23.81049474454144,0.008933416,415.8536585365854,0.0,3.2439024390243905,5.1879883e-09,2739881
7.207031,11304,-9.155273e-10,0.1649,22129.803634405136,6.7,23.673156146536748,0.008933204,412.25,0.0,3.3,-9.155273e-10,2749881
7.207031,11345,-9.155273e-10,0.16454835996635825,22202.739293813705,6.829268292682927,23.54382128973167,0.008933204,409.5121951219512,0.0,3.1707317073170733,-9.155273e-10,2759910
7.2192373,11388,-1.2207031e-09,0.1664462524299805,22283.084659576416,6.511627906976744,23.025806743197755,0.0001475215,394.8837209302326,0.0,3.488372093023256,-1.2207031e-09,2769959
7.121594,11431,-3.0517577e-10,0.1603030757689422,22359.341824054718,6.813953488372093,22.635254117566276,0.010174781,394.1860465116279,0.0,3.186046511627907,-3.0517577e-10,2779998
7.2192373,11473,-4.577637e-09,0.16523510971786834,22435.754537582397,6.761904761904762,23.502563274182982,0.008933204,404.2857142857143,0.0,3.238095238095238,-4.577637e-09,2789793
7.316861,11513,-9.155273e-10,0.16759999999999997,22510.244570493698,6.3,24.4784684059463,0.008933204,419.0,0.0,3.7,-9.155273e-10,2799793
7.316861,11554,-9.155273e-10,0.1716475216365067,22583.31581068039,6.7073170731707314,24.180334413204076,0.008933204,418.780487804878,0.0,3.292682926829268,-9.155273e-10,2809824
7.2924685,11595,8.0871585e-09,0.16579386309992133,22658.39109134674,6.853658536585366,23.490353755604954,0.00060510635,404.1463414634146,0.0,3.1463414634146343,8.0871585e-09,2819855
