MtR,AttNC,AttC,TimeElapsed,surrgain,entloss,optimgain,TimestepsSoFar,entropy,EpisodesSoFar,TtR,meankl,Fce
19.230845501217615,0.9523809523809523,0.047619047619047616,1879.1700761318207,0.0037771652,0.0,0.0037771652,599812,0.39234552,3253,33.80952380952381,0.005195749,0.1387106227106227
17.27385199601304,0.8695652173913043,0.13043478260869565,1910.090451002121,0.0033000645,0.0,0.0033000645,609838,0.3923177,3299,30.043478260869566,0.0053385263,0.12944774980930587
19.325529059677347,0.9523809523809523,0.047619047619047616,1941.9368495941162,0.0042988937,0.0,0.0042988937,619840,0.42129233,3341,33.904761904761905,0.0060004257,0.13561904761904764
17.39289213927465,0.8163265306122449,0.1836734693877551,1973.3116142749786,0.0029576125,0.0,0.0029576125,629961,0.39751896,3390,30.163265306122447,0.0048895073,0.12174173740292579
19.29786770875694,0.9302325581395349,0.06976744186046512,2004.249038696289,0.0034920806,0.0,0.0034920806,639964,0.3819764,3433,33.906976744186046,0.0049165124,0.1356279069767442
18.912699820699455,0.8888888888888888,0.1111111111111111,2036.463133096695,0.004497067,0.0,0.004497067,649975,0.3660289,3478,33.044444444444444,0.006164025,0.1383492063492063
19.188899912989204,0.8444444444444444,0.15555555555555556,2067.1524930000305,0.0037356159,0.0,0.0037356159,659920,0.37921473,3523,33.86666666666667,0.004873075,0.14608341846007003
18.789115837763482,0.8666666666666667,0.13333333333333333,2098.530966281891,0.003802835,0.0,0.003802835,669774,0.36194274,3568,33.13333333333333,0.00813612,0.14095446022463562
18.454659107479117,0.8888888888888888,0.1111111111111111,2129.332807302475,0.0026152858,0.0,0.0026152858,679815,0.33103946,3613,32.44444444444444,0.0041461634,0.1467528619528619
18.717650158745165,0.8888888888888888,0.1111111111111111,2161.2490096092224,0.002552765,0.0,0.002552765,689930,0.3439529,3658,32.644444444444446,0.0037580826,0.13587301587301592
19.521424766138452,0.9523809523809523,0.047619047619047616,2193.9499588012695,0.002659794,0.0,0.002659794,699934,0.36321995,3700,34.166666666666664,0.0027830193,0.1366666666666667
17.85593406039547,0.8666666666666667,0.13333333333333333,2224.882565498352,0.0040959353,0.0,0.0040959353,709786,0.3193969,3745,31.066666666666666,0.005913036,0.13597757757757759
18.819050501269228,0.9302325581395349,0.06976744186046512,2256.463964700699,0.0041018557,0.0,0.0041018557,719789,0.31541565,3788,32.7906976744186,0.0055391896,0.1311627906976744
19.721061867977493,0.9523809523809523,0.047619047619047616,2286.780237674713,0.0041583106,0.0,0.0041583106,729829,0.31483468,3830,34.92857142857143,0.0058842087,0.14435164835164838
19.576780528481,0.9523809523809523,0.047619047619047616,2318.4216692447662,0.003724633,0.0,0.003724633,739845,0.27668875,3872,34.642857142857146,0.005800705,0.14304761904761903
18.060172709545043,0.8695652173913043,0.13043478260869565,2349.581788778305,0.0047275573,0.0,0.0047275573,749873,0.24635911,3918,31.97826086956522,0.005998413,0.12962948960302456
20.39258698664754,0.9523809523809523,0.047619047619047616,2380.3671333789825,0.003124057,0.0,0.003124057,759875,0.23813738,3960,35.785714285714285,0.005957079,0.14314285714285716
19.31291763306862,0.975609756097561,0.024390243902439025,2411.8452463150024,0.0037956883,0.0,0.0037956883,769876,0.24604315,4001,33.75609756097561,0.00539451,0.13502439024390242
20.5276395562235,0.975609756097561,0.024390243902439025,2442.2916538715363,0.0031729324,0.0,0.0031729324,779899,0.24532044,4042,36.1219512195122,0.003987378,0.14833934252386002
17.857456254687172,0.8695652173913043,0.13043478260869565,2474.7338030338287,0.0043322523,0.0,0.0043322523,789905,0.20778666,4088,31.608695652173914,0.005797208,0.1264347826086957
18.49033159197937,0.9302325581395349,0.06976744186046512,2505.3001313209534,0.0034849248,0.0,0.0034849248,799918,0.16907515,4131,32.46511627906977,0.0054317107,0.1318816067653277
20.106640656788215,0.975609756097561,0.024390243902439025,2535.717945098877,0.0031301389,0.0,0.0031301389,809925,0.17004381,4172,35.21951219512195,0.004518882,0.14087804878048782
19.51203101392372,0.9523809523809523,0.047619047619047616,2567.805457353592,0.0036569275,0.0,0.0036569275,819927,0.18182386,4214,34.595238095238095,0.0050305338,0.1383809523809524
