TimestepsSoFar,TtR,Ptt,entropy,MpbtA,optimgain,surrgain,Tmc,EpisodesSoFar,MtR,AttNC,Tmt,MpbtN,TimeElapsed,Tbt,AttC,entloss,meankl
4449931,-88.0,59.39792365519585,0.13371149,85.50196421596723,0.0022301148,0.0022301148,44.06666666666667,32276,-6.72362053082378,1.5066666666666666,60.973333333333336,14.498035784032727,64215.6354906559,249746.77333333335,8.493333333333334,0.0,0.00409569
4459914,-88.91891891891892,59.87788698123521,0.13846236,85.50096948910699,0.0026792402,0.0026792402,43.554054054054056,32350,-6.822653786206605,1.5675675675675675,61.486486486486484,14.499030510893,64331.60504770279,251848.64864864864,8.432432432432432,0.0,0.004555523
4469876,-91.6,60.07815327192944,0.1371236,85.02369166815006,0.0024282064,0.0024282064,43.333333333333336,32425,-7.040750098094244,1.2133333333333334,61.68,14.976308331849905,64446.622633457184,252641.28,8.786666666666667,0.0,0.0049140956
4479977,-98.02631578947368,61.38508159118293,0.12622267,84.38983637651404,0.0018483938,0.0018483938,41.921052631578945,32501,-7.281244245475515,1.0,63.03947368421053,15.610163623485956,64558.831617832184,258209.68421052632,9.0,0.0,0.0040816804
4489957,-102.66666666666667,60.52448799332356,0.1389145,83.42392094881849,0.0025194082,0.0025194082,42.85333333333333,32576,-7.535258316357331,1.1466666666666667,62.14666666666667,16.5760790511815,64677.462191581726,254552.74666666667,8.853333333333333,0.0,0.0044318177
4499989,-99.0909090909091,60.46844292946405,0.1324383,84.08105087712818,0.0019710057,0.0019710057,42.90909090909091,32653,-7.374330524742435,1.1818181818181819,62.09090909090909,15.918949122871798,64796.02687239647,254324.36363636365,8.818181818181818,0.0,0.0043031187
4509992,-95.46666666666667,60.18384292073942,0.13271435,84.48730134213022,0.0024596818,0.0024596818,43.22666666666667,32728,-7.187135031032961,1.3466666666666667,61.81333333333333,15.512698657869787,64910.294088840485,253187.41333333333,8.653333333333334,0.0,0.0039137523
4519955,-92.56756756756756,60.77199510948442,0.14107306,85.04466213638662,0.0026493298,0.0026493298,42.5945945945946,32802,-6.919931415712093,1.472972972972973,62.41891891891892,14.95533786361337,65022.336463451385,255667.8918918919,8.527027027027026,0.0,0.004596121
4529936,-97.6,61.11053167250803,0.13729633,84.398677750378,0.0027784167,0.0027784167,42.22666666666667,32877,-7.245808093547985,1.2266666666666666,62.77333333333333,15.601322249622008,65135.42247509956,257119.57333333333,8.773333333333333,0.0,0.005726128
4539899,-100.8108108108108,61.30302732233602,0.12505159,83.96590449817205,0.0020819067,0.0020819067,42.027027027027025,32951,-7.333019079495648,0.9324324324324325,62.986486486486484,16.034095501827895,65245.16748380661,257992.64864864864,9.067567567567568,0.0,0.004326633
4549966,-92.36842105263158,59.683307195082705,0.14374398,84.87380887971383,0.002633942,0.002633942,43.75,33027,-6.919703711971414,1.1842105263157894,61.26315789473684,15.126191120286208,65354.12689065933,250933.8947368421,8.81578947368421,0.0,0.005611802
4559917,-91.33333333333333,60.10643938220568,0.14418861,85.18799697052468,0.0025121127,0.0025121127,43.306666666666665,33102,-6.854359088198787,0.7866666666666666,61.72,14.81200302947535,65465.728232860565,252805.12,9.213333333333333,0.0,0.005316438
