meankl,MtR,AttC,EpisodesSoFar,TimestepsSoFar,AttNC,TtR,surrgain,optimgain,entloss,entropy,TimeElapsed,Fce
0.0034027207,19.872124170944222,1.05,9432,2099755,1.95,105.525,0.001809565,0.001809565,0.0,0.98164207,8478.909444093704,0.1407
0.00322131,19.24982770187605,1.0,9473,2109758,2.0,102.4390243902439,0.0017244165,0.0017244165,0.0,0.99536157,8519.206594228745,0.1365853658536586
0.003096154,17.656550558266062,1.1666666666666667,9515,2119764,1.8333333333333333,93.64285714285714,0.0015881434,0.0015881434,0.0,0.99604625,8559.841463327408,0.12952380952380954
0.003008778,19.99018680066039,1.4,9555,2129764,1.6,105.6,0.0015529083,0.0015529083,0.0,0.99175704,8599.800174713135,0.1408
0.0057429275,21.953640731129088,1.45,9595,2139764,1.55,113.4,0.0033465587,0.0033465587,0.0,0.9712557,8639.512553215027,0.15120000000000003
0.0025505894,20.53234227951543,1.5238095238095237,9637,2149822,1.4761904761904763,106.14285714285714,0.0012683385,0.0012683385,0.0,0.9933948,8679.330917596817,0.14744643660433138
0.0027133601,20.26151958365164,1.5365853658536586,9678,2159833,1.4634146341463414,105.21951219512195,0.0012574269,0.0012574269,0.0,0.99133384,8719.385501861572,0.14029268292682925
0.003759106,19.410744623287766,1.4390243902439024,9719,2169846,1.5609756097560976,104.34146341463415,0.0015772496,0.0015772496,0.0,0.9705203,8759.679071426392,0.1409005628517824
0.005232192,18.77796878618219,1.1219512195121952,9760,2179871,1.8780487804878048,100.09756097560975,0.0023934322,0.0023934322,0.0,0.9722247,8800.401968240738,0.135219512195122
0.0052494733,19.934763821322218,1.1951219512195121,9801,2189872,1.8048780487804879,105.65853658536585,0.002342689,0.002342689,0.0,0.98188555,8841.078521490097,0.1408780487804878
0.004250005,18.503304043874387,1.2093023255813953,9844,2199903,1.7906976744186047,97.04651162790698,0.0015518897,0.0015518897,0.0,0.96570253,8880.806584835052,0.1380686600221484
0.0028195903,17.339564522907335,1.1162790697674418,9887,2209934,1.8837209302325582,91.95348837209302,0.001321313,0.001321313,0.0,0.9834426,8921.255823850632,0.1496089577950043
0.0039901496,18.531017104399645,1.1219512195121952,9928,2219985,1.8780487804878048,98.63414634146342,0.0020058837,0.0020058837,0.0,0.9640513,8961.186077833176,0.13379626972740322
