optimgain,Fce,entloss,TimestepsSoFar,TtR,entropy,AttC,meankl,MtR,AttNC,surrgain,EpisodesSoFar,TimeElapsed
0.0017776904,0.14769386038687973,0.0,619888,109.09756097560975,0.99519086,1.7073170731707317,0.0037588624,20.783422678836928,1.2926829268292683,0.0017776904,2743,2562.496250629425
0.0015328359,0.1527371110703588,0.0,629979,106.4,0.98095727,1.511111111111111,0.003385252,20.283111081626064,1.488888888888889,0.0015328359,2788,2603.682406425476
0.0011509928,0.1521283697047497,0.0,639998,112.3170731707317,1.021115,1.7073170731707317,0.0036961955,21.281508462846652,1.2926829268292683,0.0011509928,2829,2646.4627363681793
0.0014265493,0.15793996619455614,0.0,649804,109.25581395348837,0.98004466,1.4651162790697674,0.0034953805,21.047883413196377,1.5348837209302326,0.0014265493,2872,2687.445012807846
0.0014002289,0.1411508547949226,0.0,659894,100.02272727272727,1.0128942,1.5227272727272727,0.0039373133,19.011595553726483,1.4772727272727273,0.0014002289,2916,2727.822234392166
0.0015406503,0.14565853658536587,0.0,669897,109.2439024390244,0.9987666,1.4146341463414633,0.004006714,20.875184297559617,1.5853658536585367,0.0015406503,2957,2768.590348005295
0.001493341,0.15308843537414965,0.0,679937,110.0,1.0011588,1.4523809523809523,0.0042696646,21.18827728388946,1.5476190476190477,0.001493341,2999,2809.488331079483
0.0013893982,0.15010247633503448,0.0,689845,105.83720930232558,0.9444571,1.6046511627906976,0.00514416,20.288566137756415,1.3953488372093024,0.0013893982,3042,2850.143061876297
0.0015607605,0.15128650137741048,0.0,699921,109.63636363636364,0.9011693,1.6136363636363635,0.0048488555,21.05055685661154,1.3863636363636365,0.0015607605,3086,2891.3160717487335
0.0019787839,0.15766158781074582,0.0,709968,116.65116279069767,0.8644228,1.5348837209302326,0.004377561,22.396874443341176,1.4651162790697674,0.0019787839,3129,2932.7974224090576
0.0016117721,0.14812007504690428,0.0,719981,109.7560975609756,0.8721936,1.3902439024390243,0.005306098,20.873198741485044,1.6097560975609757,0.0016117721,3170,2974.237375020981
0.0013065984,0.1502857142857143,0.0,729989,112.71428571428571,0.8536535,1.0952380952380953,0.003531797,21.52555506136647,1.9047619047619047,0.0013065984,3212,3015.4176664352417
0.0020550394,0.1528,0.0,739989,114.6,0.8196412,1.075,0.005142329,21.51529116074271,1.925,0.0020550394,3252,3056.2096519470215
0.0019896356,0.15859999999999996,0.0,749989,118.95,0.8293507,1.15,0.0041512805,22.64190509396339,1.85,0.0019896356,3292,3097.141790151596
0.0021400799,0.15789999999999998,0.0,759989,118.425,0.8085366,1.1,0.005035091,22.377376989487438,1.9,0.0021400799,3332,3138.4964592456818
0.0021611713,0.13437460317460317,0.0,769783,98.6,0.8198089,1.511111111111111,0.005585878,18.848079523941433,1.488888888888889,0.0021611713,3377,3179.7049853801727
0.002259434,0.14995121951219514,0.0,779788,112.46341463414635,0.7907925,1.024390243902439,0.0051825773,21.4617549127344,1.975609756097561,0.002259434,3418,3220.7868752479553
0.0023442572,0.14883229813664595,0.0,789814,110.21428571428571,0.82060224,1.2380952380952381,0.0049948874,20.905852819717264,1.7619047619047619,0.0023442572,3460,3261.1400380134583
0.0018795249,0.14320000000000005,0.0,799814,107.4,0.8114819,1.3,0.0036103684,20.65769625136,1.7,0.0018795249,3500,3301.954653739929
