EpisodesSoFar,MtR,meankl,TimeElapsed,AttNC,Fce,TimestepsSoFar,entloss,surrgain,optimgain,AttC,entropy,TtR
3916,23.455752586547717,0.010172011,9186.978014469147,4.0,0.16893224932249323,929779,0.0,1.8960571e-06,1.8960571e-06,6.0,3.3461182,409.2682926829268
3956,23.362518258388548,0.008933196,9277.720666885376,3.525,0.1637,939779,0.0,5.027695e-06,5.027695e-06,6.475,3.443692,409.25
3996,22.187368088120287,0.0101747215,9384.553819656372,4.05,0.155,949779,0.0,2.989044e-06,2.989044e-06,5.95,3.3461182,387.5
4037,21.112794091081767,0.010172874,9480.767746686935,3.1951219512195124,0.14682926829268295,959796,0.0,3.1174468e-06,3.1174468e-06,6.804878048780488,3.2485356,367.0731707317073
4077,21.80724511911543,0.010174751,9584.139735937119,3.6,0.1518,969796,0.0,8.721924e-06,8.721924e-06,6.4,3.1509557,379.5
4119,20.903724900755712,0.010174751,9678.80769777298,3.5,0.14872279444693237,979836,0.0,3.1561278e-06,3.1561278e-06,6.5,3.0533638,361.1904761904762
4161,20.406731750753824,0.008933067,9776.912138223648,3.4523809523809526,0.14579844961240318,989906,0.0,2.5292206e-06,2.5292206e-06,6.5476190476190474,3.1509557,357.6190476190476
4202,22.2233708474886,0.008924519,9872.27101945877,3.8292682926829267,0.15580487804878052,999927,0.0,1.2533569e-06,1.2533569e-06,6.170731707317073,3.2485118,389.5121951219512
4242,22.488810899846733,0.008933102,9975.236323833466,3.0,0.1568,1009927,0.0,6.9229127e-06,6.9229127e-06,7.0,3.3460963,392.0
4283,22.130945538604117,0.008933204,10067.763932228088,3.5853658536585367,0.15492682926829268,1019934,0.0,2.0279695e-06,2.0279695e-06,6.414634146341464,3.4436731,387.3170731707317
4326,20.86481717152448,0.008932556,10168.783927679062,3.3488372093023258,0.158411106332771,1029774,0.0,2.624817e-06,2.624817e-06,6.651162790697675,3.5412588,361.3953488372093
4367,22.309404091200236,0.008933102,10259.299409866333,3.7804878048780486,0.15760114777618367,1039825,0.0,4.3227005e-06,4.3227005e-06,6.219512195121951,3.6388488,388.2926829268293
4409,22.056686999135326,0.0028873547,10352.945124864578,3.5238095238095237,0.15180952380952384,1049853,0.0,9.8266604e-08,9.8266604e-08,6.476190476190476,3.5860262,379.5238095238095
4449,23.73552721364878,0.010174781,10444.624813079834,3.275,0.1651,1059853,0.0,1.2359619e-06,1.2359619e-06,6.725,3.4884562,412.75
4489,22.777303954359077,0.008933196,10538.049319982529,3.4,0.15979999999999997,1069853,0.0,6.387329e-07,6.387329e-07,6.6,3.5860262,399.5
4529,23.083739100941564,0.008933204,10628.306289196014,3.875,0.15850000000000003,1079853,0.0,3.5071564e-06,3.5071564e-06,6.125,3.683614,396.25
4571,22.501642419678667,0.008933102,10729.861486196518,3.7857142857142856,0.1633378684807256,1089875,0.0,1.0978699e-06,1.0978699e-06,6.214285714285714,3.781246,392.6190476190476
4612,21.848087600602824,0.008933204,10825.29197216034,3.5121951219512195,0.15705207646671063,1099912,0.0,5.7662965e-07,5.7662965e-07,6.487804878048781,3.8788397,385.609756097561
4652,23.053589474053897,0.008933102,10920.528504133224,2.85,0.1618,1109912,0.0,6.951904e-07,6.951904e-07,7.15,3.9763937,404.5
