TimestepsSoFar,MtR,Tbt,MpbtA,EpisodesSoFar,MpbtN,Tmc,surrgain,meankl,AttNC,entloss,Tmt,AttC,Ptt,TtR,optimgain,TimeElapsed,entropy
2839759,-36.00813233962998,336303.15789473685,23.362292925148044,14357,76.63770707485197,21.842105263157894,0.0026948075,0.00632145,1.0,0.0,82.10526315789474,0.0,79.86782471605602,-62.94736842105263,0.0026948075,39010.80667042732,0.14451441
2849948,-35.46624832684184,333561.4358974359,23.44680086794048,14396,76.55319913205953,22.564102564102566,0.002429428,0.008834499,1.0,0.0,81.43589743589743,0.0,79.2037380548726,-62.38461538461539,0.002429428,39117.398892879486,0.13798873
2859759,-36.3913015694348,336087.5789473684,21.455490667398625,14434,78.5445093326014,21.86842105263158,0.0042272536,0.0090736905,0.9736842105263158,0.0,82.05263157894737,0.02631578947368421,79.83905685775336,-64.44736842105263,0.0042272536,39219.98864340782,0.14076397
2869709,-36.46973864659456,336842.1052631579,21.82058616732596,14472,78.17941383267404,21.763157894736842,0.0034511155,0.008274972,1.0,0.0,82.23684210526316,0.0,79.94988375111926,-64.3157894736842,0.0034511155,39322.68828749657,0.14368112
2879955,-36.342140210108525,334611.6923076923,22.318413168937973,14511,77.681586831062,22.28205128205128,0.004138306,0.007846225,0.9487179487179487,0.0,81.6923076923077,0.05128205128205128,79.46143783293465,-63.46153846153846,0.004138306,39429.50495219231,0.14885813
2889774,-35.86738994230937,335761.2972972973,22.698457402006557,14548,77.30154259799343,22.027027027027028,0.0045652557,0.0114068845,0.9459459459459459,0.0,81.97297297297297,0.05405405405405406,79.70210336164001,-63.37837837837838,0.0045652557,39535.83796811104,0.16200611
2899738,-35.57684440678563,334470.7368421053,23.217486360505756,14586,76.78251363949423,22.31578947368421,0.003677066,0.0099887755,0.868421052631579,0.0,81.65789473684211,0.13157894736842105,79.42986901436667,-62.71052631578947,0.003677066,39645.45521616936,0.16002308
2909789,-34.63898893464077,332853.8947368421,23.695889536510048,14624,76.30411046348995,22.710526315789473,0.0044438355,0.009155334,0.9473684210526315,0.0,81.26315789473684,0.05263157894736842,79.06194510659438,-62.05263157894737,0.0044438355,39753.229814291,0.15033683
2919979,-35.5391667409917,333351.3846153846,22.9697831744955,14663,77.03021682550448,22.58974358974359,0.004524397,0.00881834,0.9487179487179487,0.0,81.38461538461539,0.05128205128205128,79.17459806373182,-62.743589743589745,0.004524397,39859.38895225525,0.15384695
2930000,-36.264168399556105,337704.4210526316,23.035123574617128,14701,76.96487642538288,21.526315789473685,0.0034307954,0.011108336,1.0,0.0,82.44736842105263,0.0,80.16502357021295,-63.473684210526315,0.0034307954,39966.252725839615,0.15883262
2939928,-35.31920907379314,338135.5789473684,23.755561519810122,14739,76.24443848018987,21.394736842105264,0.004097003,0.010757913,0.8947368421052632,0.0,82.55263157894737,0.10526315789473684,80.28200621747236,-62.94736842105263,0.004097003,40069.05720305443,0.15699534
2949835,-35.25043849717081,333456.41025641025,23.546845408056868,14778,76.45315459194313,22.564102564102566,0.003535254,0.008664636,0.9230769230769231,0.0,81.41025641025641,0.07692307692307693,79.19726423331774,-62.256410256410255,0.003535254,40175.33064579964,0.1622313
