Tmc,entloss,surrgain,Ptt,AttC,EpisodesSoFar,TimestepsSoFar,TimeElapsed,meankl,AttNC,MtR,TtR,optimgain,MpbtA,MpbtN,entropy,Tbt,Tmt
48.888888888888886,0.0,0.0022373395,54.92260062369634,5.904761904761905,12789,1769957,62617.42014884949,0.0048044915,4.095238095238095,-8.493893829277058,-123.96825396825396,0.0022373395,78.20942374503724,21.79057625496277,0.30359134,230741.33333333334,56.333333333333336
48.738461538461536,0.0,0.0029654903,55.06334924883239,6.6923076923076925,12854,1779861,62965.20101380348,0.0055989185,3.3076923076923075,-8.811840020488468,-126.0,0.0029654903,77.82104062781205,22.178959372187943,0.27696526,231329.47692307693,56.47692307692308
48.07575757575758,0.0,0.0026015313,55.693025047222655,6.090909090909091,12920,1789903,63337.51880693436,0.0063425526,3.909090909090909,-10.53040818930033,-155.0,0.0026015313,73.3947757876171,26.605224212382858,0.26476708,234092.60606060605,57.15151515151515
48.39344262295082,0.0,0.0022906037,55.350089597549555,2.918032786885246,12981,1799883,63706.91584444046,0.005931382,7.081967213114754,-9.136306513141573,-126.72131147540983,0.0022906037,77.6826639923164,22.31733600768358,0.26291367,232397.6393442623,56.73770491803279
47.484375,0.0,0.002628797,56.19717381864258,4.90625,13045,1809892,64076.33937096596,0.00549448,5.09375,-11.090412344874263,-162.8125,0.002628797,72.36482956992748,27.635170430072527,0.26246363,236032.0,57.625
48.596774193548384,0.0,0.0022733796,55.1584844873792,2.6451612903225805,13107,1819911,64428.00051355362,0.005000951,7.354838709677419,-8.75485637336842,-121.7741935483871,0.0022733796,78.44490357440795,21.555096425592065,0.24957395,231556.12903225806,56.53225806451613
48.63492063492063,0.0,0.002935391,55.1291666036789,1.5555555555555556,13170,1829963,64791.86372065544,0.0064266035,8.444444444444445,-9.670786705480584,-130.63492063492063,0.002935391,76.89641965108696,23.103580348913084,0.23764351,231456.50793650793,56.507936507936506
48.557377049180324,0.0,0.0024956814,55.21061779394218,2.8524590163934427,13231,1839872,65161.85805916786,0.0053111073,7.147540983606557,-9.62321255328022,-132.78688524590163,0.0024956814,76.58147833906126,23.41852166093873,0.26029274,231860.45901639343,56.60655737704918
48.403225806451616,0.0,0.0020447099,55.32576087089872,2.967741935483871,13293,1849882,65515.36030173302,0.004956244,7.032258064516129,-8.476746710942866,-116.29032258064517,0.0020447099,79.38871687470528,20.611283125294722,0.25497672,232216.7741935484,56.693548387096776
49.37096774193548,0.0,0.00282326,54.44157997812458,1.9516129032258065,13355,1859895,65888.45507216454,0.0074936133,8.048387096774194,-8.11498206212862,-110.64516129032258,0.00282326,80.13484560682058,19.86515439317942,0.26381186,228517.16129032258,55.79032258064516
