EpisodesSoFar,meankl,MtR,Ptt,Tbt,MpbtA,surrgain,MpbtN,entropy,TtR,entloss,optimgain,AttNC,TimeElapsed,AttC,Tmc,Tmt,TimestepsSoFar
9504,0.0060793213,-9.361456713863161,54.30963768599565,228205.7142857143,77.49998779062777,0.0022823499,22.500012209372215,0.26713118,-125.07936507936508,0.0,0.0022823499,4.571428571428571,44161.94645357132,5.428571428571429,49.57142857142857,55.714285714285715,1249854
9570,0.0064987205,-8.774902754138894,54.693151580092376,229872.48484848486,78.40774219731831,0.002307833,21.592257802681704,0.2689472,-120.75757575757575,0.0,0.002307833,5.015151515151516,44476.38999938965,4.984848484848484,49.166666666666664,56.121212121212125,1259942
9633,0.004984815,-10.209173187419283,56.913122521032385,239063.3650793651,74.68759956373195,0.0023350562,25.31240043626805,0.2781717,-148.4126984126984,0.0,0.0023350562,4.571428571428571,44780.74417948723,5.428571428571429,46.714285714285715,58.36507936507937,1269927
9698,0.004989592,-9.954701245362141,55.62486547219783,233598.03076923077,75.9514862445834,0.0021152145,24.04851375541659,0.2721839,-137.53846153846155,0.0,0.0021152145,5.507692307692308,45082.00210237503,4.492307692307692,48.10769230769231,57.03076923076923,1279851
9763,0.0053275386,-9.458646160133258,55.08553032663967,231392.4923076923,76.60082036187804,0.0025196527,23.39917963812199,0.26727614,-134.0,0.0,0.0025196527,5.876923076923077,45381.241468667984,4.123076923076923,48.707692307692305,56.49230769230769,1289947
9826,0.0053044762,-9.1883765776782,55.77461188848205,234187.17460317462,77.23373008556896,0.0018141028,22.766269914431042,0.27262044,-130.31746031746033,0.0,0.0018141028,5.809523809523809,45702.95006918907,4.190476190476191,47.93650793650794,57.17460317460318,1299912
9893,0.00534348,-10.522417518702126,57.65338029688677,242397.61194029852,74.35769311778843,0.001855813,25.642306882211553,0.2798033,-158.0597014925373,0.0,0.001855813,4.2835820895522385,46028.36008524895,5.7164179104477615,45.95522388059702,59.17910447761194,1309980
9959,0.0062053334,-9.572461835584159,55.89722439782167,234775.27272727274,76.86355015888108,0.002516443,23.136449841118896,0.23706645,-133.03030303030303,0.0,0.002516443,5.4393939393939394,46367.83842468262,4.5606060606060606,47.81818181818182,57.31818181818182,1319947
10023,0.0058159446,-9.053072621156703,54.48610306997583,228928.0,78.05589733593025,0.003137232,21.944102664069728,0.26702183,-122.03125,0.0,0.003137232,5.46875,46710.33712387085,4.53125,49.375,55.890625,1329858
10087,0.005877042,-9.70640581934976,56.573076361580256,237632.0,75.41409308964755,0.0026056797,24.585906910352445,0.27852547,-144.84375,0.0,0.0026056797,4.390625,47048.61237215996,5.609375,47.078125,58.015625,1339969
10153,0.005049865,-8.380398802259425,55.318514331788165,232292.84848484848,79.13375210680027,0.0019845641,20.86624789319973,0.2641827,-118.48484848484848,0.0,0.0019845641,4.515151515151516,47384.8227558136,5.484848484848484,48.43939393939394,56.71212121212121,1349965
10217,0.0059358007,-9.366687404694801,55.979853637480836,235072.0,76.39165627069619,0.002527511,23.608343729303822,0.25734594,-135.9375,0.0,0.002527511,4.265625,47712.365413188934,5.734375,47.71875,57.390625,1359916
10281,0.0056221765,-9.00472566201221,54.70077926793181,229568.0,77.60916215735558,0.0028400037,22.390837842644395,0.27179477,-125.15625,0.0,0.0028400037,4.859375,48046.81687760353,5.140625,49.078125,56.046875,1369851
10344,0.0050706137,-9.368648476577409,56.4189328426359,237112.88888888888,75.9752131611794,0.002010361,24.024786838820585,0.2610425,-140.47619047619048,0.0,0.002010361,4.126984126984127,48366.95226931572,5.873015873015873,47.285714285714285,57.888888888888886,1379913
10407,0.0045863776,-8.783104607714982,55.330348654790654,232366.73015873015,77.93941449405027,0.0017555695,22.06058550594972,0.24537137,-125.71428571428571,0.0,0.0017555695,3.7301587301587302,48665.8049094677,6.26984126984127,48.42857142857143,56.73015873015873,1389928
